CustomerID,Churn,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,Contract,PaperlessBilling,PaymentMethod,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,ChargesTotal,ChargesMonthly,DailyCharges
0002-ORFBO,No,Female,0,1,1,9,1,0,One year,1,Mailed check,DSL,0,1,0,1,1,0,593.3,65.6,2.1866666666666665
0003-MKNFE,No,Male,0,0,0,9,1,1,Month-to-month,0,Mailed check,DSL,0,0,0,0,0,1,542.4,59.9,1.9966666666666666
0004-TLHLJ,Yes,Male,0,0,0,4,1,0,Month-to-month,1,Electronic check,Fiber optic,0,0,1,0,0,0,280.85,73.9,2.4633333333333334
0011-IGKFF,Yes,Male,1,1,0,13,1,0,Month-to-month,1,Electronic check,Fiber optic,0,1,1,0,1,1,1237.85,98.0,3.2666666666666666
0013-EXCHZ,Yes,Female,1,1,0,3,1,0,Month-to-month,1,Mailed check,Fiber optic,0,0,0,1,1,0,267.4,83.9,2.796666666666667
0013-MHZWF,No,Female,0,0,1,9,1,0,Month-to-month,1,Credit card (automatic),DSL,0,0,0,1,1,1,571.45,69.4,2.3133333333333335
0013-SMEOE,No,Female,1,1,0,71,1,0,Two year,1,Bank transfer (automatic),Fiber optic,1,1,1,1,1,1,7904.25,109.7,3.6566666666666667
0014-BMAQU,No,Male,0,1,0,63,1,1,Two year,1,Credit card (automatic),Fiber optic,1,0,0,1,0,0,5377.8,84.65,2.8216666666666668
0015-UOCOJ,No,Female,1,0,0,7,1,0,Month-to-month,1,Electronic check,DSL,1,0,0,0,0,0,340.35,48.2,1.6066666666666667
0016-QLJIS,No,Female,0,1,1,65,1,1,Two year,1,Mailed check,DSL,1,1,1,1,1,1,5957.9,90.45,3.015
0017-DINOC,No,Male,0,0,0,54,0,0,Two year,0,Credit card (automatic),DSL,1,0,0,1,1,0,2460.55,45.2,1.5066666666666668
0017-IUDMW,No,Female,0,1,1,72,1,1,Two year,1,Credit card (automatic),Fiber optic,1,1,1,1,1,1,8456.75,116.8,3.893333333333333
0018-NYROU,No,Female,0,1,0,5,1,0,Month-to-month,1,Electronic check,Fiber optic,0,0,0,0,0,0,351.5,68.95,2.2983333333333333
0019-EFAEP,No,Female,0,0,0,72,1,1,Two year,1,Bank transfer (automatic),Fiber optic,1,1,1,0,1,0,7261.25,101.3,3.3766666666666665
0019-GFNTW,No,Female,0,0,0,56,0,0,Two year,0,Bank transfer (automatic),DSL,1,1,1,1,0,0,2560.1,45.05,1.5016666666666665
0020-INWCK,No,Female,0,1,1,71,1,1,Two year,1,Credit card (automatic),Fiber optic,0,1,1,0,0,1,6849.4,95.75,3.191666666666667
0020-JDNXP,No,Female,0,1,1,34,0,0,One year,0,Mailed check,DSL,1,0,1,1,1,1,1993.2,61.25,2.0416666666666665
0021-IKXGC,No,Female,1,0,0,1,1,1,Month-to-month,1,Electronic check,Fiber optic,0,0,0,0,0,0,72.1,72.1,2.4033333333333333
0022-TCJCI,Yes,Male,1,0,0,45,1,0,One year,0,Credit card (automatic),DSL,1,0,1,0,0,1,2791.5,62.7,2.0900000000000003
0023-HGHWL,Yes,Male,1,0,0,1,0,0,Month-to-month,1,Electronic check,DSL,0,0,0,0,0,0,25.1,25.1,0.8366666666666667
0023-UYUPN,No,Female,1,1,0,50,1,1,One year,0,Electronic check,No,0,0,0,0,0,0,1306.3,25.2,0.84
0023-XUOPT,Yes,Female,0,1,0,13,1,1,Month-to-month,0,Electronic check,Fiber optic,0,1,1,0,1,0,1215.6,94.1,3.1366666666666663
0027-KWYKW,No,Female,0,1,1,23,1,1,Month-to-month,1,Electronic check,Fiber optic,0,0,0,0,1,0,1849.95,83.75,2.7916666666666665
0030-FNXPP,No,Female,0,0,0,3,1,0,Month-to-month,0,Mailed check,No,0,0,0,0,0,0,57.2,19.85,0.6616666666666667
0031-PVLZI,Yes,Female,0,1,1,4,1,0,Month-to-month,0,Mailed check,No,0,0,0,0,0,0,76.35,20.35,0.6783333333333333
0032-PGELS,Yes,Female,0,1,1,1,0,0,Month-to-month,0,Bank transfer (automatic),DSL,1,0,0,0,0,0,30.5,30.5,1.0166666666666666
0036-IHMOT,No,Female,0,1,1,55,1,0,One year,1,Bank transfer (automatic),Fiber optic,0,1,1,1,1,1,5656.75,103.7,3.4566666666666666
0040-HALCW,No,Male,0,1,1,54,1,0,Two year,0,Credit card (automatic),No,0,0,0,0,0,0,1090.6,20.4,0.6799999999999999
0042-JVWOJ,No,Male,0,0,0,26,1,0,One year,1,Bank transfer (automatic),No,0,0,0,0,0,0,471.85,19.6,0.6533333333333334
0042-RLHYP,No,Female,0,1,1,69,1,0,Two year,0,Bank transfer (automatic),No,0,0,0,0,0,0,1396.9,19.7,0.6566666666666666
0047-ZHDTW,N/A,Female,0,0,0,11,1,1,Month-to-month,1,Bank transfer (automatic),Fiber optic,1,0,0,0,0,0,929.3,79.0,2.6333333333333333
0048-LUMLS,No,Male,0,1,1,37,1,0,One year,0,Credit card (automatic),Fiber optic,0,0,0,0,1,1,3247.55,91.2,3.04
0048-PIHNL,No,Female,0,1,0,49,1,0,One year,0,Bank transfer (automatic),No,0,0,0,0,0,0,900.9,20.45,0.6816666666666666
0052-DCKON,No,Male,0,1,0,66,1,1,One year,0,Bank transfer (automatic),Fiber optic,1,1,1,1,1,1,7942.15,115.8,3.86
0052-YNYOT,No,Female,0,0,0,67,1,0,One year,0,Electronic check,No,0,0,0,0,0,0,1343.4,20.55,0.685
0056-EPFBG,No,Male,0,1,1,20,0,0,Two year,1,Credit card (automatic),DSL,1,0,1,1,0,0,825.4,39.4,1.3133333333333332
0057-QBUQH,No,Female,0,0,1,43,1,1,Two year,1,Electronic check,No,0,0,0,0,0,0,1070.15,25.1,0.8366666666666667
0058-EVZWM,No,Female,0,1,0,55,1,1,Month-to-month,1,Bank transfer (automatic),Fiber optic,1,0,0,0,1,0,4959.6,89.8,2.993333333333333
0060-FUALY,No,Female,0,1,0,59,1,1,Month-to-month,1,Electronic check,Fiber optic,1,1,0,0,1,0,5597.65,94.75,3.158333333333333
0064-SUDOG,No,Female,0,1,1,12,1,0,Two year,0,Bank transfer (automatic),No,0,0,0,0,0,0,224.5,20.3,0.6766666666666666
0064-YIJGF,No,Male,0,1,1,27,1,1,Month-to-month,1,Bank transfer (automatic),Fiber optic,0,0,0,0,0,0,1929.0,75.75,2.525
0067-DKWBL,Yes,Male,1,0,0,2,1,0,Month-to-month,1,Electronic check,DSL,1,0,0,0,0,0,91.1,49.25,1.6416666666666666
0068-FIGTF,No,Female,0,0,0,27,1,0,One year,0,Mailed check,DSL,0,1,1,1,1,1,2078.95,78.2,2.606666666666667
